#Blue,	green,	red,	white
0	0	0	255
1	0	4	255
2	0	9	255
3	0	14	255
4	0	19	255
5	0	24	255
6	0	29	255
7	0	35	255
8	0	39	255
9	0	45	255
10	0	49	255
11	0	55	255
12	0	59	255
13	0	64	255
14	0	70	255
15	0	75	255
16	0	79	255
17	0	84	255
18	0	90	255
19	0	95	255
20	0	99	255
21	0	104	255
22	0	110	255
23	0	115	255
24	0	119	255
25	0	124	255
26	0	129	255
27	0	135	255
28	0	140	255
29	0	144	255
30	0	150	255
31	0	154	255
32	0	159	255
33	0	165	255
34	0	169	255
35	0	175	255
36	0	180	255
37	0	184	255
38	0	190	255
39	0	194	255
40	0	199	255
41	0	205	255
42	0	209	255
43	0	215	255
44	0	220	255
45	0	224	255
46	0	230	255
47	0	234	255
48	0	239	255
49	0	245	255
50	0	249	255
51	0	255	255
52	0	255	250
53	0	255	245
54	0	255	240
55	0	255	235
56	0	255	230
57	0	255	225
58	0	255	220
59	0	255	215
60	0	255	210
61	0	255	205
62	0	255	200
63	0	255	195
64	0	255	190
65	0	255	185
66	0	255	180
67	0	255	175
68	0	255	170
69	0	255	165
70	0	255	160
71	0	255	155
72	0	255	150
73	0	255	145
74	0	255	140
75	0	255	135
76	0	255	130
77	0	255	125
78	0	255	120
79	0	255	115
80	0	255	110
81	0	255	105
82	0	255	100
83	0	255	95
84	0	255	90
85	0	255	85
86	0	255	80
87	0	255	75
88	0	255	70
89	0	255	65
90	0	255	60
91	0	255	55
92	0	255	50
93	0	255	45
94	0	255	40
95	0	255	35
96	0	255	30
97	0	255	25
98	0	255	20
99	0	255	15
100	0	255	10
101	0	255	5
102	0	255	0
103	4	255	0
104	9	255	0
105	14	255	0
106	19	255	0
107	24	255	0
108	29	255	0
109	34	255	0
110	39	255	0
111	44	255	0
112	49	255	0
113	54	255	0
114	59	255	0
115	64	255	0
116	69	255	0
117	74	255	0
118	79	255	0
119	84	255	0
120	89	255	0
121	94	255	0
122	99	255	0
123	104	255	0
124	109	255	0
125	114	255	0
126	119	255	0
127	124	255	0
128	129	255	0
129	134	255	0
130	139	255	0
131	144	255	0
132	149	255	0
133	154	255	0
134	159	255	0
135	164	255	0
136	169	255	0
137	174	255	0
138	179	255	0
139	184	255	0
140	189	255	0
141	194	255	0
142	199	255	0
143	204	255	0
144	209	255	0
145	214	255	0
146	219	255	0
147	224	255	0
148	229	255	0
149	234	255	0
150	239	255	0
151	244	255	0
152	249	255	0
153	255	254	0
154	255	249	0
155	255	244	0
156	255	239	0
157	255	234	0
158	255	229	0
159	255	224	0
160	255	219	0
161	255	214	0
162	255	209	0
163	255	204	0
164	255	199	0
165	255	194	0
166	255	189	0
167	255	184	0
168	255	179	0
169	255	174	0
170	255	169	0
171	255	164	0
172	255	159	0
173	255	154	0
174	255	149	0
175	255	144	0
176	255	139	0
177	255	134	0
178	255	129	0
179	255	124	0
180	255	119	0
181	255	114	0
182	255	109	0
183	255	104	0
184	255	99	0
185	255	94	0
186	255	89	0
187	255	84	0
188	255	79	0
189	255	74	0
190	255	69	0
191	255	64	0
192	255	59	0
193	255	54	0
194	255	49	0
195	255	44	0
196	255	39	0
197	255	34	0
198	255	29	0
199	255	24	0
200	255	19	0
201	255	14	0
202	255	9	0
203	255	4	0
204	255	0	0
205	255	4	4
206	255	9	9
207	255	14	14
208	255	19	19
209	255	24	24
210	255	29	29
211	255	34	34
212	255	39	39
213	255	44	44
214	255	49	49
215	255	54	54
216	255	59	59
217	255	64	64
218	255	69	69
219	255	74	74
220	255	79	79
221	255	84	84
222	255	89	89
223	255	94	94
224	255	99	99
225	255	104	104
226	255	109	109
227	255	114	114
228	255	119	119
229	255	124	124
230	255	129	129
231	255	134	134
232	255	139	139
233	255	144	144
234	255	149	149
235	255	154	154
236	255	159	159
237	255	164	164
238	255	169	169
239	255	174	174
240	255	179	179
241	255	184	184
242	255	189	189
243	255	194	194
244	255	199	199
245	255	204	204
246	255	209	209
247	255	214	214
248	255	219	219
249	255	224	224
250	255	229	229
251	255	234	234
252	255	239	239
253	255	244	244
254	255	249	249
255	255	254	254
